time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,precipType,ozone,precipAccumulation,city,demand,hour,day_of_week,month,season,kmeans_cluster
1559185200,Possible Light Rain,rain,0.0106589147286821,0.34,0.62571299230421,0.6851724925748229,69.59,0.9,0.4900459418070451,0.2282051282051282,0.2199201672685801,0.9693593314763232,0.69,0.0,0.8917731221257026,rain,0.3523131672597864,0.008611082970317,dallas,9541.0,3,3,5,Spring,4
1559188800,Mostly Cloudy,partly-cloudy-night,0.0055717054263565,0.15,0.619556360344047,0.679993907547026,69.36,0.91,0.5053598774885142,0.2128205128205128,0.1910283216118609,0.0055710306406685,0.63,0.0,0.8731732243229433,rain,0.3505338078291814,0.008611082970317,dallas,9339.0,4,3,5,Spring,4
1559192400,Mostly Cloudy,partly-cloudy-night,0.0033107235142118,0.09,0.6169307378904482,0.6770238367222602,68.64,0.9,0.5099540581929567,0.2168498168498168,0.2130773617183045,1.0,0.62,0.0,0.8946346448645885,rain,0.3483985765124554,0.008611082970317,dallas,9438.0,5,3,5,Spring,4
1559196000,Mostly Cloudy,partly-cloudy-night,0.0016957364341085,0.04,0.6125848800362154,0.6731398979514127,68.27,0.9,0.5145482388973974,0.1571428571428571,0.159095229043908,0.0,0.84,0.0,1.0,rain,0.3608540925266902,0.008611082970317,dallas,9969.0,6,3,5,Spring,4
1559199600,Mostly Cloudy,partly-cloudy-night,0.0005652454780361,0.02,0.609144409234948,0.6703221384509938,68.19,0.91,0.5206738131699851,0.1567765567765568,0.1490210986504467,0.9832869080779943,0.75,0.0,1.0,rain,0.3633451957295374,0.008611082970317,dallas,10827.0,7,3,5,Spring,1
1559203200,Mostly Cloudy,partly-cloudy-night,0.0017764857881136,0.04,0.6030783159800814,0.6652197090853704,68.0,0.93,0.5252679938744276,0.1813186813186813,0.132674396502566,0.9303621169916436,0.65,0.0,1.0,rain,0.3665480427046262,0.008611082970317,dallas,11302.0,8,3,5,Spring,1
1559206800,Partly Cloudy,partly-cloudy-night,0.0013727390180878,0.04,0.5954730647351741,0.658670322138451,67.59,0.94,0.5329249617151621,0.204029304029304,0.1617563200912374,0.9080779944289694,0.57,0.0,1.0,rain,0.3679715302491103,0.008611082970317,dallas,11818.0,9,3,5,Spring,1
1559210400,Mostly Cloudy,partly-cloudy-night,0.0008074935400516,0.03,0.5859665006790402,0.6506739776102353,67.26,0.96,0.5390505359877498,0.2245421245421245,0.1796236456947348,0.913649025069638,0.63,0.0,1.0,rain,0.3676156583629894,0.008611082970317,dallas,12483.0,10,3,5,Spring,1
1559214000,Mostly Cloudy,partly-cloudy-night,0.0015342377260981,0.03,0.5775464010864645,0.6434391897037545,66.74,0.98,0.5482388973966312,0.245054945054945,0.2104162706709751,0.924791086350975,0.6,0.0,0.9908022483392948,rain,0.3658362989323843,0.008611082970317,dallas,13255.0,11,3,5,Spring,6
1559217600,Partly Cloudy,partly-cloudy-day,0.0004037467700258,0.02,0.5855138071525576,0.6489985530424187,66.1,0.93,0.5558958652373676,0.2443223443223443,0.2229614141798137,0.947075208913649,0.51,0.0,0.9373530914665305,rain,0.3782918149466193,0.008611082970317,dallas,14017.0,12,3,5,Spring,6
